province,city_name,total_confirm,total_number,,,福建,296
湖北,,,67799,,,,
湖北 汇总,,0,,,,,
广东,深圳,1364,1364,,,,
广东 汇总,,1364,,,,,
河南,地区待确认,#REF!,1273,,,,
河南 汇总,,#REF!,,,,,
浙江,舟山,10,1232,,,,
浙江 汇总,,10,,,,,
湖南,长沙,242,1018,,,,
湖南 汇总,,242,,,,,
安徽,合肥,174,990,,,,
安徽 汇总,,174,,,,,
江西,南昌,230,935,,,,
江西 汇总,,230,,,,,
山东,济宁,260,761,,,,
山东 汇总,,260,,,,广西,253
江苏,南京,93,631,,,,
江苏 汇总,,93,,,,,
重庆,万州区,118,576,,,,
重庆 汇总,,118,,,,,
四川,成都,144,539,,,,
四川 汇总,,144,,,,,
黑龙江,哈尔滨,198,482,,,,
黑龙江 汇总,,198,,,,,
北京,朝阳,72,455,,,,
北京 汇总,,72,,,,,
上海,外地来沪,111,358,,,,
上海 汇总,,111,,,,,
河北,唐山,58,318,,,,
河北 汇总,,58,,,,,
福建,福州,72,,,,陕西,246
福建,莆田,56,,,,,
福建,泉州,47,,,,,
福建,厦门,35,,,,,
福建,宁德,26,,,,,
福建,南平,20,,,,,
福建,漳州,20,,,,,
福建,三明,14,,,,,
福建,龙岩,6,,,,,
福建,地区待确认,0,,,,,
福建 汇总,,296,,,,,
广西,南宁,55,,,,,
广西,北海,44,,,,,
广西,桂林,32,,,,,
广西,河池,28,,,,,
广西,柳州,24,,,,,
广西,防城港,19,,,,云南,176
广西,来宾,11,,,,,
广西,玉林,11,,,,,
广西,贵港,8,,,,,
广西,钦州,8,,,,,
广西,梧州,5,,,,,
广西,贺州,4,,,,,
广西,百色,3,,,,,
广西,境外输入,1,,,,,
广西,地区待确认,0,,,,,
广西 汇总,,253,,,,,
陕西,西安,120,,,,,
陕西,汉中,26,,,,,
陕西,安康,26,,,,,
陕西,咸阳,17,,,,,
陕西,渭南,15,,,,,
陕西,宝鸡,13,,,,海南,168
陕西,铜川,8,,,,,
陕西,延安,8,,,,香港,157
陕西,商洛,7,,,,,
陕西,榆林,3,,,,,
陕西,韩城,1,,,,,
陕西,杨凌,1,,,,,
陕西,境外输入,1,,,,,
陕西,地区待确认,0,,,,,
陕西 汇总,,246,,,,,
云南,昆明,53,,,,,
云南,昭通市,25,,,,,
云南,西双版纳州,15,,,,贵州,146
云南,玉溪,14,,,,,
云南,大理,13,,,,,
云南,曲靖,13,,,,,
云南,红河,9,,,,,
云南,保山市,9,,,,,
云南,丽江市,7,,,,,
云南,德宏州,5,,,,,
云南,楚雄州,4,,,,,
云南,普洱,4,,,,,
云南,境外输入,2,,,,,
云南,文山州,2,,,,,
云南,临沧,1,,,,,
云南 汇总,,176,,,,,
海南,三亚,54,,,,,
海南,海口,39,,,,,
海南,儋州,15,,,,天津,136
海南,万宁,13,,,,,
海南,澄迈县,9,,,,,
海南,昌江县,7,,,,,
海南,琼海,6,,,,,
海南,临高县,6,,,,,
海南,陵水县,4,,,,,
海南,保亭,3,,,,,
海南,东方,3,,,,,
海南,定安县,3,,,,,
海南,文昌,3,,,,,
海南,乐东,2,,,,,
海南,琼中县,1,,,,山西,133
海南 汇总,,168,,,,,
香港,地区待确认,157,,,,,
香港 汇总,,157,,,,,
贵州,贵阳,36,,,,,
贵州,遵义,32,,,,,
贵州,毕节,23,,,,,
贵州,黔南州,17,,,,,
贵州,六盘水,10,,,,,
贵州,黔东南州,10,,,,,
贵州,铜仁,10,,,,,
贵州,安顺,4,,,,,
贵州,黔西南州,4,,,,,
贵州 汇总,,146,,,,,
天津,宝坻区,60,,,,甘肃,133
天津,河东区,15,,,,,
天津,河北区,12,,,,,
天津,外地来津,6,,,,,
天津,北辰区,6,,,,,
天津,南开区,6,,,,,
天津,和平区,6,,,,,
天津,宁河区,4,,,,,
天津,东丽区,4,,,,,
天津,河西区,4,,,,,
天津,西青区,4,,,,,
天津,滨海新区,3,,,,,
天津,津南区,2,,,,,
天津,武清区,2,,,,,
天津,红桥区,2,,,,辽宁,125
天津 汇总,,136,,,,,
山西,晋中,37,,,,,
山西,太原,20,,,,,
山西,运城,19,,,,,
山西,大同,12,,,,,
山西,晋城,10,,,,,
山西,长治,8,,,,,
山西,朔州,8,,,,,
山西,忻州,7,,,,,
山西,吕梁,6,,,,,
山西,阳泉,4,,,,吉林,93
山西,临汾,2,,,,,
山西 汇总,,133,,,,,
甘肃,境外输入,42,,,,,
甘肃,兰州,36,,,,,
甘肃,天水,12,,,,,
甘肃,定西,9,,,,,
甘肃,平凉,9,,,,,
甘肃,甘南州,8,,,,,
甘肃,陇南,4,,,,,
甘肃,白银,4,,,,,
甘肃,庆阳,3,,,,,
甘肃,临夏,3,,,,,
甘肃,张掖,2,,,,新疆,76
甘肃,金昌,1,,,,,
甘肃,地区待确认,0,,,,,
甘肃 汇总,,133,,,,,
辽宁,沈阳,28,,,,,
辽宁,大连,19,,,,,
辽宁,葫芦岛,12,,,,,
辽宁,锦州,12,,,,,
辽宁,丹东,11,,,,,
辽宁,盘锦,11,,,,,
辽宁,阜新,8,,,,,
辽宁,铁岭,7,,,,,
辽宁,朝阳市,6,,,,内蒙古,75
辽宁,鞍山,4,,,,,
辽宁,本溪,3,,,,,
辽宁,辽阳,3,,,,,
辽宁,营口,1,,,,,
辽宁 汇总,,125,,,,,
吉林,长春,45,,,,,
吉林,四平,15,,,,宁夏,75
吉林,辽源,7,,,,,
吉林,通化,6,,,,台湾,67
吉林,公主岭,6,,,,,
吉林,延边,5,,,,,
吉林,吉林,5,,,,青海,18
吉林,松原,2,,,,,
吉林,白城,1,,,,澳门,11
吉林,梅河口市,1,,,,,
吉林 汇总,,93,,,,西藏,1
新疆,乌鲁木齐,23,,,,,
新疆,伊犁州,18,,,,,
新疆,兵团第四师,10,,,,,
新疆,昌吉州,4,,,,,
新疆,第八师石河子,4,,,,,
新疆,兵团第九师,4,,,,,
新疆,吐鲁番,3,,,,,
新疆,兵团第十二师,3,,,,,
新疆,巴州,3,,,,,
新疆,六师五家渠,2,,,,,
新疆,第七师,1,,,,,
新疆,阿克苏,1,,,,,
新疆 汇总,,76,,,,新疆,76
内蒙古,包头,11,,,,,
内蒙古,鄂尔多斯,11,,,,,
内蒙古,锡林郭勒,9,,,,,
内蒙古,赤峰,9,,,,,
内蒙古,巴彦淖尔,8,,,,,
内蒙古,呼和浩特,7,,,,,
内蒙古,通辽,7,,,,,
内蒙古,呼伦贝尔,7,,,,,
内蒙古,乌兰察布,3,,,,,
内蒙古,乌海,2,,,,,
内蒙古,兴安盟,1,,,,,
内蒙古 汇总,,75,,,,内蒙古,75
宁夏,银川,36,,,,,
宁夏,吴忠,28,,,,,
宁夏,固原,5,,,,,
宁夏,中卫,4,,,,,
宁夏,石嘴山,1,,,,,
宁夏,宁东管委会,1,,,,,
宁夏 汇总,,75,,,,宁夏,75
台湾,地区待确认,67,,,,,
台湾 汇总,,67,,,,台湾,67
青海,西宁,15,,,,,
青海,海北州,3,,,,,
青海 汇总,,18,,,,青海,18
澳门,地区待确认,11,,,,,
澳门 汇总,,11,,,,澳门,11
西藏,拉萨,1,,,,,
西藏 汇总,,1,,,,西藏,1
总计,,#REF!,,,,,
