index,location
1,西安市小寨路街道长安中路33号长安大学校本部住宅区和北院宿舍区
2,西安市长延堡街道明德门北社区15号楼
3,西安市长延堡街道长丰园小区1期2号楼、2期
4,西安市长延堡街道丈八东路2号家属院1、2号
5,西安市长延堡街道紫郡长安小区北区F5栋、F
6,西安市小寨路街道雅荷翠华小区3号楼
7,西安市长延堡街道伟丰花园小区13号楼
8,西安市长延堡街道明德门西区42号楼
9,西安市长延堡街道融尚第十区6号楼
10,西安市长延堡街道明德八英里7号楼
11,西安市长延堡街道鑫泰园西区22号
12,西安市电子城街道唐园小区12号楼
13,西安市电子城街道万象春天10号楼
14,西安市长延堡街道潘家庄
15,西安市电子城街道枫叶高层43号楼
16,西安市长延堡街道中环国际城西区2号楼
17,西安市丈八街道北沈新世纪北区三号楼
18,西安市长延堡街道华城万象小区10号楼
19,西安市丈八街道科技六路4号香榭兰岛小区
20,西安市丈八街道科技二路古晋食府商住楼1号
21,西安市漳浒寨街道中航华府小区6号楼
22,西安市韩森寨街道康宁路9号康宁小区5号楼
23,西安市长延堡街道明德八英里小区1号楼
24,西安市长延堡街道铭城16号1号楼
25,西安市小寨路街道罗家寨村
26,西安市长延堡街道杨家村南区1幢
27,西安市长延堡街道明德门北社区15号楼
28,西安市长延堡街道长安中路东八里新村4号楼
29,西安市长延堡街道长安南路170号象牙宫寓7号
30,西安市电子城街道子午大道江林新城D区3号楼
31,西安市电子城街道科创路沙井村
32,西安市电子城街道中国航天771家属院15号楼
33,西安市丈八街道龙城铭园2期17号楼、27号楼
34,西安市丈八街道保利天悦3期7号楼
35,西安市丈八街道高新三路2号海佳云顶B座
36,西安市丈八街道丈八北路茶张馨苑小区8号楼
37,西安市丈八街道西辛庄小区14号楼
38,西安市丈八街道木塔路香榭兰庭1号楼
39,西安市丈八街道高科尚都2号楼
40,西安市丈八街道80号领先心城B栋
41,西安市丈八街道云顶园小区1号楼
42,西安市丈八街道鸿基新城沁园16号楼
43,西安市丈八街道绿地世纪城23号楼
44,西安市丈八街道科技三路夏日景色2期8号楼
45,西安市鱼化寨街道科技四路鸿基新城祥园20号楼
46,西安市曲江新区中海城9号楼
47,西安市曲江新区中铁国际城17号楼
48,西安市曲江新区曲江公馆和园4号楼
49,西安市曲江新区保利春天里社区保障性住房中心乐居小区7号楼
50,西安市曲江新区中冶一曲江山社区海天华庭5号楼
51,西安市航天基地聚福苑小区5号楼
52,西安市航天基地智慧谷小区1号楼
53,西安市枣园街道汉城壹号小区2期6号楼
54,西安市自强路街道泊澜地小区3号楼
55,西安市枣园街道莱茵小城8号楼
56,西安市土门街道惠南社区西石围小区
57,西安市红庙坡街道大兴九臻小区6号楼
58,西安市土门街道富力学府7号楼
59,西安市枣园街道中堡子社区D2楼
60,西安市红庙坡街道文景南路红东花园1号楼
61,西安市张家村街道九锦台小区12号楼
62,西安市张家村街道大学东路66号院80号民房
63,西安市长安路街道大话南门小区5号楼
64,西安市文艺路街道自由自宅小区B座
65,西安市柏树林街道东大街130号阳光秦大酒店家属院
66,西安市张家村街道西安医学院含光校区家
67,西安市长安路街道骊马豪城小区F座
68,西安市太乙路街道常春藤花园东区1号楼
69,西安市韦曲街道南里王村
70,西安市韦曲街道长安剧团家属院
71,西安市韦曲街道智慧城31号楼
72,西安市郭杜街道翠堤湾小区1号楼
73,西安市郭杜街道南小张村
74,西安市郭杜街道文苑中路18号2号楼
75,西安市韦曲街道西韦北堡德佳公寓77号
76,西安市韦曲街道瓜洲村
77,西安市洪庆街道庆华长安家园11号楼
78,西安市纺织城街道电建四公司家属院宿舍楼
79,西安市洪庆街道庆华长安家园11号楼
80,西安市红旗街道恒大绿洲小区24号楼
81,西安市浐灞生态区玄武东路华远海蓝城27号楼
82,西安市浐灞生态区长鸣路恒大御龙湾小区2号楼
83,西安市国际港务区新筑街道潘罗村
84,西安市国际港务区新筑街道西航花园A区80号楼
85,西安市国际港务区新筑街道潘罗村
86,西安市国际港务区新筑街道西航花园A区80号楼
87,西安市西咸新区上林街道世纪大道国润城16号楼
88,西安市国际港务区京东亚洲一号员工宿舍
89,西安市未央宫街道海璟台北湾南区6号楼
90,西安市未央湖街道翰林北苑小区5号楼
91,西安市谭家街道红旗社区17号楼
92,西安市北二环佳家花园小区9号楼
93,西安市长安大学渭水校区住宅小区10号楼
94,西安市上林街道世纪大道国润城16号楼
95,西安市沣东新城上林街道白桦林印象小区2号楼
96,西安市沣东新城上林街道沣景公寓1号楼
97,西安市沣东新城三桥街道恒大都市广场4号楼、9号楼
98,西安市沣东新城三桥街道加贝花园12号楼
99,西安市沣东新城三桥街道蓝光公园华府1期1号楼
100,西安市沣东新城三桥街道石家花园小区2号楼
101,西安市沣东新城三桥北沙口村7号楼
102,西安市沣西新城马王街道客省庄
103,西安市秦汉新城渭城街道渭城湾村
104,西安市沣东新城上林街道奥林匹克花园小区E3栋
105,西安市玉蝉街道刘家庄村郑家庄小组
106,西安市玉蝉街道丈南村
107,西安市玉蝉街道胡家庄村
108,西安市甘亭街道凤凰新天地2号楼
